SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	ORGANISM NAME	STRAIN	SEROVAR/BIOVAR	COMMON NAME	NCBI PROJECT NAME	CULTURE COLLECTION	TYPE STRAIN	GOLDSTAMP	OLD GOLDSTAMP	PROJECT TYPE	PROJECT STATUS	AVAILABILITY	SEQUENCING CENTERS	FUNDING	CONTACT NAME	CONTACT EMAIL	CONTACT URL	LOCUS TAG	COMPLETION DATE	PUBLICATION	PROJECT RELEVANCE	NCBI TAXON ID	NCBI PROJECT ID	NCBI ARCHIVE ID	SHORT READS ARCHIVE ID	GCAT_ID	HMP ID	HOMD ID	STRAININFO ID	GREENGENES OBJECT ID	IMG OBJECT ID	GENOME DATA	SEQUENCING STATUS	SEQUENCING QUALITY	COMMENTS	LIBRARY METHOD	READS COUNT	VECTOR	ASSEMBLY METHOD	SEQUENCING DEPTH	GENE CALLING METHOD	CONTIG COUNT	SIZE(kb)	ORFS	CHROMOSOME COUNT	PLASMID COUNT	GC Content	SEQUENCING METHOD	SEQUENCING COUNTRY	ISOLATION SITE	ISOLATION SOURCE	ISOLATION COMMENTS	COLLECTION DATE	ISOLATION COUNTRY	ISOLATION PUBMED ID	GEOGRAPHIC LOCATION	LATITUDE	LONGITUDE	ALTITUDE	DEPTH	HOST NAME	HOST TAXON ID	HOST GENDER	HOST AGE	HOST RACE	HOST HEALTH	HOST MEDICATION	HOST SPECIFICITY	BODY SAMPLE SITE	BODY PRODUCT	BODY SAMPLE SUBSITE	HOST COMMENTS	OXYGEN REQUIREMENT	CELL SHAPE	SPORULATION	PRESSURE	TEMPERATURE RANGE	SALINITY	PH	CELL DIAMETER	CELL LENGTH	COLOR	GRAM STAINING	BIOTIC RELATIONSHIPS	SYMBIOTIC INTERACTION	SYMBIOTIC RELATIONSHIP	SYMBIONT NAME	SYMBIONT TAXON ID	CELL ARRANGEMENT	DISEASE	HABITAT	TEMPERATURE	METABOLISM	MOTILITY	PHENOTYPE	ENERGY SOURCE
Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfomonile	NA	BACTERIAL	Desulfomonile tiedjei  DCB-1, DSM 06799	DCB-1, DSM 06799	NA		NA	DSM 06799, ATCC 49306	Yes	Gi03016	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Biotechnological, Tree of Life, GEBA	2358	NA		NA	003752_GCAT	NA		NA	10780	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Sewage sludge; USA	NA		NA	USA	NA	Sewage sludge; USA	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	NA		NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Sludge	37	NA		NA	
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfonatronumaceae	Desulfonatronum	NA	BACTERIAL	Desulfonatronum lacustre  Z-7951, DSM 10312	Z-7951, DSM 10312	NA		NA	DSM 10312	Yes	Gi03017	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	66849	NA		NA	003753_GCAT	NA		NA	10408	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	Sanger, 454	USA	"Mud from alkaline Lake Khadyn, Central Asia, Tuva"	NA		NA	Russia	NA	Lake Khadyn, Central Asia, Tuva	51.333265	94.52413	NA		NA		NA		NA		NA		NA		NA		Anaerobe	NA		NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Fresh water, Mud	37	NA		Alkaliphile, Sulfate reducer	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfonispora	Desulfonispora thiosulfatigenes	BACTERIAL	Desulfonispora thiosulfatigenes  GKNTAUT , DSM 11270	GKNTAUT , DSM 11270	NA		NA	ATCC 700533, DSM 11270	Yes	Gi03018	NA	Genome	incomplete	Public	DSMZ, DOE Joint Genome Institute	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	656914	39141	NA		003754_GCAT	NA		NA	33780	0	NA		NA	ferment the organosulfonate taurine (2-aminoethanesulfonate) quantitatively to acetate, ammonia and thiosulfate	NA		NA		NA		NA	0	0	NA		52	NA	USA	"Sewage plant in Konstanz, Germany"	NA		NA	Germany	NA	Sewage plant in Konstanz, Germany	47.661279	9.172061	NA		NA		NA		NA		NA		NA		NA		Anaerobe	Rod-shaped	Sporulating	NA	Mesophile	NA	7.0	NA	2-5x0.7-10 um	NA	gram+	Free living	NA		NA		NA	None	Salt marsh	30	Taurine fermenter	Motile	NA	
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Desulfurella	NA	BACTERIAL	Desulfurella acetivorans  A63, DSM 5264	A63, DSM 5264	NA		NA	ATCC 51451, DSM 5264	Yes	Gi03019	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Biotechnological, Tree of Life, GEBA	33002	NA		NA	003755_GCAT	NA		NA	10570	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	"Thermophilic spring; Kamchatka peninsula, Uzon vulcano, Russia"	NA		NA	Russia	NA	Kamchatka peninsula, Uzon vulcano	54.5	159.97	NA		NA		NA		NA		NA		NA		NA		Anaerobe	NA		NA	Thermophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Fresh water, Hot spring	55	NA		Sulfur reducer	
Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Flexibacteraceae	Flexibacter	NA	BACTERIAL	Flexibacter polymorphus  DSM 09678	DSM 09678	NA		NA	DSM 09678, NBRC 16703, IFO 16703, ATCC 27820	Yes	Gi03020	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	1001	NA		NA	003756_GCAT	NA		NA	58628	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	"Decaying ascidian (Didemnum sp.); Mexico, La Paz"	NA		NA	Mexico	NA	Decaying ascidian (Didemnum sp.); Mexico, La Paz	24.950001	-100.461304	NA		NA		NA		NA		NA		NA		NA		NA		NA		Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	NA	30	NA		NA	
Bacteria	Firmicutes	Clostridia	Clostridiales	Graciibacteraceae	Gracilibacter	NA	BACTERIAL	Gracilibacter thermotolerans  JW/YJL-S1, DSM 17427	JW/YJL-S1, DSM 17427	NA		NA	DSM 17427, ATCC BAA-1219	Yes	Gi03022	NA	Genome	incomplete	Public	DSMZ, DOE Joint Genome Institute	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	342666	NA		NA	003758_GCAT	NA		NA	172466	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Sediment ; USA	NA		NA	USA	NA	Sediment ; USA	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	NA		NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA		Sediment	NA		NA		
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Hippea	NA	BACTERIAL	Hippea maritima  MH2, DSM 10411	MH2, DSM 10411	NA		NA	DSM 10411	Yes	Gi03040	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	84405	NA		NA	003779_GCAT	NA		NA	51780	0	NA		NA		NA		NA		NA		NA	0	0	NA		40.4	NA	USA	"Marine sediment from hot vent of tidal zone; Papua New Guinea, Matupi Harbour"	NA		NA	New Guinea	NA	Papua New Guinea, Matupi Harbour	-4.233333	152.2	NA		NA		NA		NA		NA		NA		NA		Anaerobe	Rod-shaped	NA		Thermophile	NA	5.8 - 6.2	NA		NA	gram-	Free living	NA		NA		NA	None	Marine	55	NA	Motile	Sulfur reducer	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	NA	BACTERIAL	Thiothrix nivea  JP2, DSM 05205	JP2, DSM 05205	NA		NA	ATCC 35100, DSM 05205	Yes	Gi03023	NA	Genome	targeted	Public	DSMZ, DOE Joint Genome Institute	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	1031	NA		NA	003759_GCAT	NA		NA	7655	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	NA		NA		NA	
Bacteria	Proteobacteria	Epsilonproteobacteria	NA		Thioreductor	NA	BACTERIAL	Thioreductor micantisoli  DSM 16661	DSM 16661	NA		NA	DSM 16661, JCM 12457	Yes	Gi03024	NA	Genome	targeted	Public	DSMZ, DOE Joint Genome Institute	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	269253	NA		NA	003760_GCAT	NA		NA	106632	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	"Hydrothermal sediments; Iheya North in the Mid-Okinawa Trough, Japan"	NA		NA	Japan	NA	Iheya North in the Mid-Okinawa Trough, Japan	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	NA		NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Sediment, Hydrothermal vent	32	NA		NA	
Bacteria	Aquificae	Aquificae (class)	Aquificales	Aquificaceae	Hydrogenobacter	NA	BACTERIAL	Hydrogenobacter thermophilus  TK-6, DSM 06534	TK-6, DSM 06534	NA		NA	IAM 12695, DSM 06534	NA	Gi03025	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	940	NA		NA	003761_GCAT	NA		NA	1208	0	NA		NA		NA		NA		NA		NA	0	0	NA		45	NA	USA	Hot springs	NA		NA		NA	Hot springs	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		Thermophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	NA	70	NA		Hydrogen oxidizer	
Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Flexibacteraceae	Hymenobacter	Hymenobacter roseosalivarius	BACTERIAL	Hymenobacter roseosalivarius  AA-718, DSM 11622	AA-718, DSM 11622	NA		NA	DSM 11622	Yes	Gi03026	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	645990	38115	NA		003762_GCAT	NA		NA	2602	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Soil sample; Antarctica	NA		NA		NA	Antarctica	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		Psychrophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Sand, Soil	9	NA		NA	
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans	ARCHAEAL	Ignisphaera aggregans  AQ1.S1, DSM 17230	AQ1.S1, DSM 17230	NA		Ignisphaera aggregans DSM 17230	JCM 13409, DSM 17230	Yes	Gi03027	NA	Genome	incomplete	Public	DSMZ, DOE Joint Genome Institute	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	583356	33361	NA		003763_GCAT	NA		NA	151069	0	NA		NA		NA		NA		NA		NA	0	0	NA		52.9	Sanger, 454	USA	hot springs in Rotorua and Tokaanu, New Zealand	NA		NA	New Zealand	16627639	hot springs in Rotorua and Tokaanu, New Zealand	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	Coccus-shaped	NA		Hyperthermophile	NA	6.4	NA		NA	gram-	Free living	NA		NA		Clusters	None	Hot spring, Fresh water	92	NA		Acidophile	Heterotroph
Eukaryota	Chaetognatha	NA	Phragmophora	Spadellidae	Spadella	Spadella cephaloptera	EUKARYAL	Spadella cephaloptera  	NA		NA		NA		Ge00289	NA	EST	incomplete	Public	Genoscope	NA	Wincker P	pwincker@genoscope.cns.fr	NA		NA	 	NA	52888	NA		NA	003764_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	France	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	Phaeodactylum tricornutum	EUKARYAL	Phaeodactylum tricornutum  	NA		NA		NA		Ge00290	NA	EST	incomplete	Public	Genoscope	NA	Katinka M	mkatinka@genoscope.cns.fr	NA		NA	 	NA	2850	NA		NA	003765_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	100000	0	NA		0	NA	France	cells grown under 10 different conditions	NA		NA		NA	cells grown under 10 different conditions	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	
Eukaryota	Chordata	Actinopterygii	Cyprinodontiformes	Poeciliidae	Xiphophorus	NA	EUKARYAL	Xiphophorus maculatus  	NA		NA		NA		Gi03028	NA	Genome-Regions	incomplete	Public	Genoscope	NA	Samain S	samain@genoscope.cns.fr	NA		NA	 	NA	8083	NA		NA	003766_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	BAC clones	France	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Streptophyta	NA	Malvales	Malvaceae	Theobroma	NA	EUKARYAL	Theobroma cacao  	NA		NA		NA		Ge00291	NA	EST	incomplete	Public	Genoscope	NA	Wincker P	pwincker@genoscope.cns.fr	NA		NA	 	NA	3641	NA		NA	003767_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	100000	0	NA		0	NA	France	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella	Edwardsiella tarda	BACTERIAL	Edwardsiella tarda  EIB202	EIB202	NA		Edwardsiella tarda EIB202	NA		Gi03029	NA	Genome	incomplete	Public	Chinese National Human Genome Center at Shanghai	NA		NA		NA		 	Fish Pathogen, Medical, Human Pathogen	498217	28539	NA		003768_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	China	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	Wound infection, Septicemia	Human intestinal microflora, Host	NA		Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	BACTERIAL	Campylobacter jejuni jejuni  BH-01-0142	BH-01-0142	NA		Campylobacter jejuni subsp. jejuni BH-01-0142	NA		Gi03030	NA	Genome	incomplete	Public	NMRC	NA		NA		NA		 	Medical	482628	27797	NA		003769_GCAT	NA		NA		642979315	NZ_ABKD00000000	Draft	NA		NA		NA		NA		NA	118	106	NA		77	NA	USA	clinical isolate from a patient in Thailand	NA		NA	Thailand	NA	clinical isolate from a patient in Thailand	NA		NA		Homo sapiens	NA		NA		Patient	NA		NA		NA		Microaerophilic	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Chains, Singles	None	Food, Host	NA		Motile	Non-Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	BACTERIAL	Campylobacter jejuni jejuni  CG8421	CG8421	NA		Campylobacter jejuni subsp. jejuni CG8421	NA		Gi03031	NA	Genome	incomplete	Public	NMRC	NA	Guerry P	patricia.guerry@med.navy.mil	NA		NA	 	Medical	478547	21037	NA		003770_GCAT	NA		NA		642979372	NZ_ABGQ00000000	Draft	NA		NA		NA		NA		NA	1608	1512	NA		30	NA	USA	clinical isolate from a patient in Thailand	NA		NA	Thailand	NA	clinical isolate from a patient in Thailand	NA		NA		Homo sapiens	NA		NA		Patient	NA		NA		NA		Microaerophilic	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Chains, Singles	None	Host	NA		Motile	Non-Pathogen	
